Classe,Sexo,Idade,survived,cabin
1,Feminino,29,Sim,B5
1,male,9,Sim,C22 C26
1,Feminino,2,Não,C22 C26
1,male,30,Não,C22 C26
1,Feminino,25,Não,C22 C26
1,male,48,Sim,E12
1,Feminino,63,Sim,D7
1,male,39,Não,A36
1,Feminino,53,Sim,C101
1,male,71,Não,
1,male,47,Não,C62 C64
1,Feminino,18,Sim,C62 C64
1,Feminino,24,Sim,B35
1,Feminino,26,Sim,
1,male,80,Sim,A23
1,male,,Não,
1,male,24,Não,B58 B60
1,Feminino,50,Sim,B58 B60
1,Feminino,32,Sim,D15
1,male,36,Não,C6
1,male,37,Sim,D35
1,Feminino,47,Sim,D35
1,male,26,Sim,C148
1,Feminino,42,Sim,
1,Feminino,29,Sim,C97
1,male,25,Não,
1,male,25,Sim,B49
1,Feminino,19,Sim,B49
1,Feminino,35,Sim,C99
1,male,28,Sim,C52
1,male,45,Não,T
1,male,40,Sim,A31
1,Feminino,30,Sim,C7
1,Feminino,58,Sim,C103
1,male,42,Não,D22
1,Feminino,45,Sim,
1,Feminino,22,Sim,E33
1,male,,Sim,
1,male,41,Não,A21
1,male,48,Não,B10
1,male,,Não,
1,Feminino,44,Sim,B4
1,Feminino,59,Sim,C101
1,Feminino,60,Sim,D15
1,Feminino,41,Sim,E40
1,male,45,Não,B38
1,male,,Não,
1,male,42,Sim,E24
1,Feminino,53,Sim,
1,male,36,Sim,B51 B53 B55
1,Feminino,58,Sim,B51 B53 B55
1,male,33,Não,B51 B53 B55
1,male,28,Não,
1,male,17,Não,
1,male,11,Sim,B96 B98
1,Feminino,14,Sim,B96 B98
1,male,36,Sim,B96 B98
1,Feminino,36,Sim,B96 B98
1,male,49,Não,
1,Feminino,,Sim,
1,male,36,Não,C46
1,Feminino,76,Sim,C46
1,male,46,Não,E31
1,Feminino,47,Sim,E31
1,male,27,Sim,E8
1,Feminino,33,Sim,E8
1,Feminino,36,Sim,B61
1,Feminino,30,Sim,B77
1,male,45,Sim,A9
1,Feminino,,Sim,E33
1,male,,Não,
1,male,27,Não,C89
1,Feminino,26,Sim,C89
1,Feminino,22,Sim,
1,male,,Não,A14
1,male,47,Não,E58
1,Feminino,39,Sim,E49
1,male,37,Não,E52
1,Feminino,64,Sim,E45
1,Feminino,55,Sim,C101
1,male,,Não,
1,male,70,Não,B22
1,Feminino,36,Sim,B22
1,Feminino,64,Sim,B26
1,male,39,Não,C85
1,Feminino,38,Sim,C85
1,male,51,Sim,E17
1,male,27,Sim,
1,Feminino,33,Sim,
1,male,31,Não,B71
1,Feminino,27,Sim,B71
1,male,31,Sim,B20
1,Feminino,17,Sim,B20
1,male,53,Sim,A34
1,male,4,Sim,A34
1,Feminino,54,Sim,A34
1,male,50,Não,C86
1,Feminino,27,Sim,B58 B60
1,Feminino,48,Sim,C86
1,Feminino,48,Sim,A16
1,male,49,Sim,A20
1,male,39,Não,A18
1,Feminino,23,Sim,C54
1,Feminino,38,Sim,C45
1,Feminino,54,Sim,D20
1,Feminino,36,Não,A29
1,male,,Não,C95
1,Feminino,,Sim,
1,Feminino,,Sim,
1,male,36,Sim,E25
1,male,30,Não,C111
1,Feminino,24,Sim,C23 C25 C27
1,Feminino,28,Sim,C23 C25 C27
1,Feminino,23,Sim,C23 C25 C27
1,male,19,Não,C23 C25 C27
1,male,64,Não,C23 C25 C27
1,Feminino,60,Sim,C23 C25 C27
1,Feminino,30,Sim,E36
1,male,,Não,D34
1,male,50,Sim,
1,male,43,Sim,D40
1,Feminino,,Sim,
1,Feminino,22,Sim,B39
1,male,60,Sim,B41
1,Feminino,48,Sim,B41
1,male,,Não,B102
1,male,37,Não,C123
1,Feminino,35,Sim,C123
1,male,47,Não,E63
1,Feminino,35,Sim,C130
1,Feminino,22,Sim,
1,Feminino,45,Sim,
1,male,24,Não,B86
1,male,49,Sim,C92
1,Feminino,,Sim,C92
1,male,71,Não,A5
1,male,53,Sim,C51
1,Feminino,19,Sim,B42
1,male,38,Não,C91
1,Feminino,58,Sim,C125
1,male,23,Sim,D10 D12
1,Feminino,45,Sim,D10 D12
1,male,46,Não,B82 B84
1,male,25,Sim,E50
1,Feminino,25,Sim,E50
1,male,48,Sim,D33
1,Feminino,49,Sim,D33
1,male,,Não,
1,male,45,Não,C83
1,Feminino,35,Sim,C83
1,male,40,Não,B94
1,male,27,Sim,D49
